fecha;fondo;var_fon;peso_fon;n_tickers;momento;Fondo;menos2_5;menos1_5;mas1_5;porc_menos2_5;porc_menos1_5;porc_mas1_5
01-09-2024;ALPHA;-0.0160968586387437;4.73;1;15:41:24;ALPHA;;;;;;
01-09-2024;BESTIDEAS;0.5312818049276337;100.000000001;25;15:41:24;BESTIDEAS;;;1.0;;;0.04
01-09-2024;BOLSAESPANA;0.4817159949753025;93.68;32;15:41:24;BOLSAESPANA;;;4.0;;;0.12
01-09-2024;BOLSAEUROPA;0.05091688540781199;90.14;58;15:41:24;BOLSAEUROPA;;2.0;4.0;;0.03;0.07
01-09-2024;BOLSAINTERNACIONAL;0.5285444820267696;91.53;75;15:41:24;BOLSAINTERNACIONAL;1.0;2.0;10.0;0.01;0.03;0.13
01-09-2024;BOLSAUSA;0.9586201616940896;96.04;77;15:41:24;BOLSAUSA;;1.0;14.0;;0.01;0.18
01-09-2024;DIVIDENDO;0.6132062938842793;91.88;43;15:41:24;DIVIDENDO;;;2.0;;;0.05
01-09-2024;FINANCIERO;0.5504278819848047;90.96;35;15:41:24;FINANCIERO;;;2.0;;;0.06
01-09-2024;GLOBAL;0.5919018976244145;95.18;49;15:41:24;GLOBAL;;1.0;8.0;;0.02;0.16
01-09-2024;JAPON;0.7357199658260583;93.77;46;15:41:24;JAPON;1.0;1.0;11.0;0.02;0.02;0.24
01-09-2024;MEGATRENDS;0.5690290203107067;98.76;38;15:41:24;MEGATRENDS;;1.0;6.0;;0.03;0.16
01-09-2024;NEWENERGY;0.884004431080445;96.39;38;15:41:24;NEWENERGY;1.0;3.0;6.0;0.03;0.08;0.16
01-09-2024;SANIDAD;0.617569086866985;102.47;51;15:41:24;SANIDAD;;2.0;1.0;;0.04;0.02
01-09-2024;SECTORINMOBILIARIO;0.9854616156479293;94.58;47;15:41:24;SECTORINMOBILIARIO;;;12.0;;;0.26
01-09-2024;SMALLCAPS;0.37879320616420803;97.02;68;15:41:24;SMALLCAPS;1.0;2.0;13.0;0.01;0.03;0.19
01-09-2024;TECNOLOGICO;0.9174824517480896;94.92999999999999;38;15:41:24;TECNOLOGICO;;1.0;10.0;;0.03;0.26
01-09-2024;ZVIX;-0.4153354632587861;10.0;1;15:41:24;ZVIX;1.0;1.0;;1.0;1.0;
01-09-2024;ZVSTOXX;-1.2188658084804662;30.0;3;15:41:24;ZVSTOXX;2.0;3.0;;0.67;1.0;
01-09-2024;ZVXN;-0.626822157434402;10.0;1;15:41:24;ZVXN;1.0;1.0;;1.0;1.0;
