Idorden;Nada;fondo;accIon;ticker;porcentaje;mes;a??o 
31;;ALPHA;ACCOR EUR 2.251 2,13 2.072 2,39;AC.PA;4.73;Diciembre;2023
94730.48;8216;BESTIDEAS;Iberdrola, S.A.;IBE.MC;17.56838834;1749.91979;11.95
63077.2;15310;BESTIDEAS;Telefónica, S.A.;TEF.MC;10.95818855;1165.2009;4
39999.96;333;BESTIDEAS;NOVO-NORDISK;NVO;7.157529454;738.90391;120.12
27543.5;77;BESTIDEAS;LOREAL;OR.PA;6.120991106;508.8005;444.25
35880;1500;BESTIDEAS;Naturgy Energy Group, S.A.;NTGY.MC;5.937176619;662.79747;22.12
28069.04;40;BESTIDEAS;LVMH MOET HENNESSY LOUIS VUI;MC.PA;5.908975925;518.5086;825.56
27028.95;835;BESTIDEAS;BRITISH AMERICAN TOBACCO PLC;BTI;4.83651748;499.29542;32.37
26997.9;31;BESTIDEAS;ASML HOLDING NV;ASML;4.830961442;498.72184;870.9
19799.64;256;BESTIDEAS;NIKE INC;NKE;4.798870627;365.75115;104.76
26072.37;1737;BESTIDEAS;Repsol, S.A.;REP.MC;3.851010579;481.62488;12.39
17342;56;BESTIDEAS;STRYKER CORP;SYK;3.475527998;320.35211;346.84
18355.95;45;BESTIDEAS;MICROSOFT CORP ;MSFT;3.284584604;339.08242;407.91
17361.52;362;BESTIDEAS; AGNICO EAGLE MINES LTD       ;AEM;3.106642876;320.71269;47.96
17334.56;68;BESTIDEAS;AUTOMATIC DATA PROCESSING;ADP;3.101818696;320.21467;254.92
14904;107;BESTIDEAS;Johnson Johnson;JNJ;3.101718491;275.31587;162
11327;47;BESTIDEAS;MARRIOTT INTERNATIONAL -CL;MAR;2.02683543;209.23932;241
8961;29;BESTIDEAS;Home depot;HD;1.603467139;165.53311;309
8041.15;445;BESTIDEAS;Clínica Baviera, S.A;CBAV.MC;1.438870638;148.54108;18.07
6877;2300;BESTIDEAS;ENCE Energía y Celulosa;ENC.MC;1.230559482;127.03618;2.99
6860;28;BESTIDEAS;VERISK ANALYTICS INC;VRSK;1.227517529;126.72215;245
6603.03;223;BESTIDEAS;Marathon Oil Corporation;MRO;1.181535724;121.97524;29.61
6209.19;39;BESTIDEAS;PROCTER GAMBLE CO THE;PG;1.111062619;114.69998;159.21
6026.4;270;BESTIDEAS;Logista            Industrials ;LOG.MC;1.078354466;111.32337;22.32
5940;3000;BESTIDEAS;Mapfre, S.A.;MAP.MC;1.062894187;109.72734;1.98
0;0;BESTIDEAS;PETROLEO BRASIL-SP;PBR-A;0;0;14.65
31;;BOLSAESPANA;IBERDROLA EUR 5.600 9,41 6.821 10,21;IBE.MC;9.5;Agosto;2024
31;;BOLSAESPANA;INDITEX EUR 3.680 6,18 6.102 9,14;ITX.MC;9.09;Agosto;2024
31;;BOLSAESPANA;BANCO SANTANDER EUR;SAN.MC;7.86;Agosto;2024
31;;BOLSAESPANA;BBVA EUR 2.890 4,86 4.524 6,77;BBVA.MC;7.42;Agosto;2024
31;;BOLSAESPANA;CAIXABANK EUR 1.348 2,83 786 1,64;CABK.MC;5.15;Agosto;2024
31;;BOLSAESPANA;FERROVIAL EUR 1.400 2,94 1.424 2,98;FER.MC;4.66;Agosto;2024
31;;BOLSAESPANA;BANKINTER EUR 888 1,86 664 1,39;BKT.MC;4.58;Agosto;2024
